Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
812.465,2382.402,3.053,0,0,2.702,0,0.351,0,0,2385.456,0,1569.937,0,0,889.146,-889.146,0,13662.059,11276.603,0,0,0,0,0,0,0,0,0,0,0,8097.519,1464.550,0,8097.519,9562.068,8097.519,9798.440,0,359.994,1007.119,1478.163,8.500,42.713,0,0,0,0,0,0,0,0,0,0,44.473,51.905,10,60,0.196,0,0,0.064,0.000,0,0,0,0,1318.446,0,29.563,5,63,Radiative heating,,20.502,20.502,18.810,18.232,19.334,8.500,1.100,185.140,0
812.465,2382.402,3.004,0,0,2.702,0,0.302,0,0,2385.406,0,1569.937,0,0,861.092,-861.092,0,13461.527,11076.121,0,0,0,0,0,0,0,0,0,0,0,8273.201,1446.947,0,8273.201,9720.148,8273.201,9961.666,0,449.992,742.957,1114.455,8.000,42.069,0,0,0,0,0,0,0,0,0,0,44.766,52.322,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,22.289,6,62,Radiative heating,,20.502,20.502,18.780,18.196,19.314,8.000,0.400,231.425,0
812.465,2382.402,2.927,0,0,2.702,0,0.225,0,0,2385.329,0,1569.937,0,0,823.047,-823.047,0,13299.752,10914.422,0,0,0,0,0,0,0,0,0,0,0,8547.088,1437.909,0,8547.088,9984.996,8547.088,10234.622,0,449.992,412.754,679.801,7.400,41.201,0,0,0,0,0,0,0,0,0,0,45.254,53.017,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,13.596,6,58,Radiative heating,,20.502,20.502,18.742,18.151,19.288,7.400,0.200,231.425,0
204.151,612.763,2.898,0,0,2.702,0,0.196,0,0,615.661,0,408.612,0,0,800.865,-800.865,0,12705.652,12089.991,0,0,0,0,0,0,0,0,0,0,0,9667.417,1576.349,0,9667.417,11243.766,9667.417,11526.293,0,449.992,313.693,563.698,6.900,40.669,0,0,0,0,0,0,0,0,0,0,47.516,56.259,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,11.274,6,61,Radiative heating,,20.502,20.502,18.676,18.073,19.242,6.900,0.200,231.425,0
204.151,612.763,2.829,0,0,2.702,0,0.127,0,0,615.592,0,408.612,0,0,772.091,-772.091,0,12972.740,12357.148,0,0,0,0,0,0,0,0,0,0,0,10047.029,1579.919,0,10047.029,11626.948,10047.029,11920.881,0,449.992,132.081,436.267,6.300,39.955,0,0,0,0,0,0,0,0,0,0,48.193,57.235,10,60,0.198,0,0,0.080,0.000,0,0,0,0,1318.446,0,8.725,6,62,Radiative heating,,20.502,20.502,18.612,17.990,19.198,6.300,0.300,231.425,0
204.151,612.763,2.792,0,0,2.702,0,0.090,0,0,615.555,0,408.612,0,0,736.254,-736.254,0,13507.978,12892.423,0,0,0,0,0,0,0,0,0,0,0,10471.341,1580.972,0,10471.341,12052.313,10471.341,12359.150,0,449.992,66.041,533.273,5.600,39.073,0,0,0,0,0,0,0,0,0,0,48.938,58.312,10,60,0.198,0,0,0.080,0.000,0,0,0,0,1318.446,0,10.665,6,63,Radiative heating,,20.502,20.502,18.542,17.900,19.150,5.600,2.200,231.425,0
204.151,612.763,2.747,0,0,2.702,0,0.045,0,0,615.510,0,408.612,0,0,700.564,-700.564,0,14166.878,13551.368,0,0,0,0,0,0,0,0,0,0,0,10946.211,1580.625,0,10946.211,12526.836,10946.211,12848.308,0,449.992,16.510,703.061,4.800,38.177,0,0,0,0,0,0,0,0,0,0,49.760,59.505,10,60,0.199,0,0,0.081,0.000,0,0,0,0,1318.446,0,14.061,6,66,Radiative heating,,20.502,20.502,18.466,17.802,19.097,4.800,4.100,231.425,0
204.151,612.763,2.747,0,0,2.702,0,0.045,0,0,615.510,0,408.612,0,0,688.889,-688.889,0,14539.419,13923.909,0,0,0,0,0,0,0,0,0,0,0,11284.755,1603.301,0,11284.755,12888.057,11284.755,13219.783,0,449.992,16.510,704.125,4.500,37.827,0,0,0,0,0,0,0,0,0,0,50.379,60.406,10,60,0.199,0,0,0.081,0.000,0,0,0,0,1318.446,0,14.083,6,67,Radiative heating,,20.502,20.502,18.397,17.707,19.050,4.500,2.700,231.425,0
204.151,612.763,2.766,0,0,2.702,0,0.064,0,0,615.529,0,408.612,0,0,673.340,-673.340,0,14952.829,14337.300,0,0,0,0,0,0,0,0,0,0,0,11645.434,1619.808,0,11645.434,13265.242,11645.434,13608.029,0,449.992,33.020,729.271,4.100,37.393,0,0,0,0,0,0,0,0,0,0,51.021,61.342,10,60,0.199,0,0,0.081,0.000,0,0,0,0,1318.446,0,14.585,6,69,Radiative heating,,20.502,20.502,18.328,17.614,19.002,4.100,3.700,231.425,0
204.151,612.763,2.979,0,0,2.702,0,0.277,0,0,615.742,0,408.612,0,0,656.747,-656.747,0,15573.904,14958.161,0,0,0,0,0,0,0,0,0,0,0,12003.191,1635.237,0,12003.191,13638.428,12003.191,13992.249,0,449.992,627.386,965.912,3.700,36.931,0,0,0,0,0,0,0,0,0,0,51.651,62.264,10,60,0.200,0,0,0.081,0.000,0,0,0,0,1318.446,0,19.318,6,71,Radiative heating,,20.502,20.502,18.260,17.522,18.955,3.700,1.700,231.425,0
